Date,Open,High,Low,Close,Adj Close,Volume
2021-01-22,74.45,76.8,73.5,74.05,72.1,3083816
2021-01-21,77.5,78.3,73.45,74.35,72.4,2909912
2021-01-20,74.55,79.1,73.65,77.35,75.32,12790058
2021-01-19,72.75,74.95,72.6,74.65,72.69,3308483
2021-01-18,75.75,75.8,71.4,72.3,70.4,3489073
2021-01-15,71.55,75.75,71,75.05,73.08,8958267
2021-01-14,73.05,73.8,71.25,71.9,70.01,2354829
2021-01-13,75.7,76,70.2,73.2,71.28,9357500
2021-01-12,66.9,76,66.45,74.85,72.88,20949427
2021-01-11,67.6,67.75,66,66.9,65.14,1838451
2021-01-08,68.2,68.2,66.85,67.05,65.29,1678181
2021-01-07,68.3,68.3,67.3,67.55,65.78,850988
2021-01-06,68,68.5,66.8,67.3,65.53,2832539
2021-01-05,67.8,68.05,67,67.45,65.68,911999
2021-01-04,67.25,68.8,67.15,67.9,66.12,1589390
2021-01-01,67.8,68.5,66,66.8,65.04,1642085
2020-12-31,69,69.45,67.6,67.8,66.02,974100
2020-12-30,68.95,69.1,67.8,68.7,66.89,982505
2020-12-29,69.55,69.95,68.05,68.4,66.6,958783
2020-12-28,69,70.3,67.2,69.05,67.24,2030860
2020-12-24,69.5,70.15,68,68.3,66.51,1207158
2020-12-23,68.8,70.7,67.65,68.95,67.14,7524739
2020-12-22,65.5,68.8,64,68.2,66.41,2319412
2020-12-21,69.95,70.9,65,66.35,64.61,3805480
2020-12-18,68.9,70.5,66.55,68.8,66.99,2269660
2020-12-17,69.5,72.4,67.7,68.4,66.6,4273037
2020-12-16,66.85,71.3,66,69.1,67.28,4171351
2020-12-15,68.2,68.2,66.1,66.4,64.66,1189733
2020-12-14,68.35,68.75,67,67.9,66.12,976105
2020-12-11,65.8,69.2,64.65,67.95,66.16,5911354
2020-12-10,64.9,66,64,65.4,63.68,1136352
2020-12-09,66.2,67.45,64.75,65.05,63.34,1836440
2020-12-08,68.2,68.7,65.1,65.7,63.97,2162208
2020-12-07,68.25,69.35,67.5,67.8,66.02,1715754
2020-12-04,71.25,73.4,67.2,68.95,67.14,6579980
2020-12-03,63.5,71.9,63,70.75,68.89,15854733
2020-12-02,63.5,64,61.8,62.65,61,1993644
2020-12-01,62.25,64.55,62.25,63.1,61.44,2191376
2020-11-27,61.6,62.4,61.35,61.9,60.27,1647316
2020-11-26,60.75,62.1,60.4,60.75,59.15,700974
2020-11-25,61.55,62.65,60.45,60.65,59.06,947090
2020-11-24,63,63,61.15,61.45,59.84,1117063
2020-11-23,63,63.85,61.9,62.2,60.57,974597
2020-11-20,60.2,63.6,60.2,63.2,61.54,2126714
2020-11-19,61.1,61.95,59.8,60.1,58.52,998157
2020-11-18,61.9,62.1,60,61,59.4,1683085
2020-11-17,63.65,64.3,61.55,61.7,60.08,1084313
2020-11-14,63.9,64.3,63,63.95,62.27,431066
2020-11-13,61.45,63.9,60.85,63.6,61.93,2213892
2020-11-12,60.35,61.95,59.5,61.15,59.54,2600173
2020-11-11,59.75,60.65,59.15,59.9,58.33,766911
2020-11-10,59.4,60.45,58.9,59.65,58.08,904034
2020-11-09,60.5,60.65,58.65,59,57.45,1202272
2020-11-06,59.5,61.7,59.35,60.2,58.62,7799494
2020-11-05,59.3,60.6,58.65,59.05,57.5,939056
2020-11-04,59.45,59.5,58,58.35,56.82,7034585
2020-11-03,60.3,60.8,58.25,58.65,57.11,1305015
2020-11-02,60.8,61.35,58.5,58.8,57.26,2033381
2020-10-30,60.2,61.65,59.95,60,58.42,971544
2020-10-29,59.75,60.85,59.7,60.3,58.72,627158
2020-10-28,61.25,61.9,59.95,60.2,58.62,805748
2020-10-27,61.1,61.85,59.95,61.1,59.49,1028880
2020-10-26,64.3,64.3,61.45,61.6,59.98,766210
2020-10-23,65.95,66.75,63.55,63.75,62.08,1223341
2020-10-22,63.4,66.6,62.95,65.9,64.17,1642871
2020-10-21,63,65,62.3,63.65,61.98,1663820
2020-10-20,63.05,63.4,61.9,62.85,61.2,1007468
2020-10-19,63.8,64.4,61.6,62.7,61.05,1196356
2020-10-16,62.35,64.4,61.35,63.8,62.12,1662749
2020-10-15,60.6,65.95,60.05,61.8,60.18,7862237
2020-10-14,58.05,60.95,56.7,60.2,58.62,8281637
2020-10-13,57.95,59.15,57.2,58.65,57.11,950244
2020-10-12,56.5,58.3,56.35,57.6,56.09,1449261
2020-10-09,56.95,56.95,55.95,56.55,55.06,1432876
2020-10-08,56.4,57,56,56.85,55.36,761818
2020-10-07,56.2,56.45,55.8,56.05,54.58,1909785
2020-10-06,55.9,56.4,55.25,56,54.53,784248
2020-10-05,56.3,57.4,54.6,55.25,53.8,2105206
