Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,226.5,231.35,226.5,230.6,227.42,16978101
2022-10-31,228.1,229,224.2,226,222.88,22697530
2022-10-28,227,227.7,222.55,225.05,221.95,13141721
2022-10-27,221.8,226.9,221.1,225.85,222.73,12783887
2022-10-25,219.1,222.9,217.65,220.65,217.61,9040336
2022-10-24,221,221.15,218.3,219,215.98,2893840
2022-10-21,221.25,222.25,217.55,218.6,215.58,8153053
2022-10-20,217.85,221.3,216.1,220.8,217.75,7889548
2022-10-19,221.4,221.65,217.55,218.4,215.39,7712123
2022-10-18,219.05,222,218.65,220.65,217.61,10267276
2022-10-17,215,218.5,213.85,217.95,214.94,9420098
2022-10-14,220,220.6,215.5,215.9,212.92,8739363
2022-10-13,217.95,218.9,213.5,216.15,213.17,9559072
2022-10-12,218,219.4,215.05,217.95,214.94,9504518
2022-10-11,220.4,222.25,216.5,217.15,214.15,9006207
2022-10-10,220,220.75,217.1,220.35,217.31,9516511
2022-10-07,221.65,222.9,218.75,222.5,219.43,11098716
2022-10-06,221,223.25,220.25,221.7,218.64,10571565
2022-10-04,216.8,219.95,216.2,219.05,216.03,11173725
2022-10-03,216.5,218,211.8,213.15,210.21,10864491
2022-09-30,212.2,217.1,210.25,216.5,213.51,13008102
2022-09-29,216.15,218,210.5,212.25,209.32,18736174
2022-09-28,215,216.85,212.75,213.9,210.95,12102060
2022-09-27,217.3,219.85,214.45,217.5,214.5,14097631
2022-09-26,222.8,223.55,212.5,215.3,212.33,22684799
2022-09-23,231.25,232.35,223.55,224.5,221.4,16143866
2022-09-22,229.1,233.5,227.45,231.65,228.45,19648230
2022-09-21,235.5,236.6,230.35,231.2,228.01,14179308
2022-09-20,235,237.5,234.15,235.25,232,10376536
2022-09-19,237.5,237.95,231.9,232.35,229.14,14016637
2022-09-16,246.9,247.75,232.65,236.3,233.04,58044047
2022-09-15,242.35,246.9,239.9,245.4,242.01,19214950
2022-09-14,237.45,244.15,236.65,241.5,238.17,24228696
2022-09-13,243.9,244.9,240.05,241.05,237.72,13871114
2022-09-12,243.7,245.2,241.7,242.8,239.45,10322525
2022-09-09,246.5,247,241.2,242.35,239.01,12290186
2022-09-08,249.55,250.1,243.6,244.9,241.52,14951235
2022-09-07,246.95,251.15,245.2,246.95,243.54,30474615
2022-09-06,237.65,248,237.2,247.35,243.94,61475311
2022-09-05,235.45,238.4,235.2,236.45,233.19,10500643
2022-09-02,238.45,239.5,234.45,235.2,231.96,12347290
2022-09-01,235.05,240.25,234.4,237.2,233.93,14693953
2022-08-30,234,237.5,234,236.95,233.68,13418819
2022-08-29,227.15,233.7,227.1,232.65,229.44,14098344
2022-08-26,231,236.4,230.85,235.1,231.86,19400636
2022-08-25,230.6,233.2,228.65,229.3,226.14,13814880
2022-08-24,230.95,232.8,227.5,229.6,226.43,14521061
2022-08-23,222.75,232.1,221.65,231.45,228.26,19119958
2022-08-22,232.65,232.65,222.85,224.15,221.06,20956719
2022-08-19,238.85,241.9,232,232.65,229.44,23097652
2022-08-18,236.95,239.8,235.9,237.95,234.67,15238636
2022-08-17,238.45,241.8,236.6,237.3,234.03,23760210
2022-08-16,233.65,237.5,231.4,236,232.74,18790189
2022-08-12,230,235.7,228.6,232.4,229.19,23305682
2022-08-11,229.9,231.35,228.35,229.4,226.24,9195356
2022-08-10,229.5,230.4,227.15,228.5,225.35,11392194
2022-08-08,232.05,232.85,227.7,228.25,225.1,11852419
2022-08-05,228.65,233.25,227.7,232.1,228.9,33228441
2022-08-04,233.8,234.8,225.3,227.65,224.51,20979139
2022-08-03,232,237.3,231.05,232.5,229.29,25614730
2022-08-02,230,233.6,227.2,232.65,229.44,20231195
2022-08-01,222.3,231.25,221.6,230.35,227.17,22010178
2022-07-29,220.2,222.65,218.85,221.9,218.84,19006987
2022-07-28,220.4,221.45,216.9,218.15,215.14,22716582
2022-07-27,220.9,223.95,215.5,218,214.99,33675845
2022-07-26,233,233.5,225.1,226.15,223.03,11541475
2022-07-25,231.4,233.35,229.5,232.5,229.29,10169772
2022-07-22,230.2,234,230.2,230.85,227.67,12459803
2022-07-21,226.7,230.9,226.5,230.1,226.93,11218003
2022-07-20,230,230.6,226.8,227.6,224.46,10163009
2022-07-19,226.65,229.5,226.5,228,224.85,7716506
2022-07-18,226.95,228.9,225.5,227.8,224.66,11035599
2022-07-15,221.9,226.2,221.65,225,221.9,13191940
2022-07-14,222.9,223.25,219.15,221.35,218.3,11027964
2022-07-13,222,223.25,219.85,220.75,217.7,11090495
2022-07-12,219.85,224.2,219.1,221.5,218.44,14294272
2022-07-11,219,221.9,218.3,220.75,217.7,14996210
2022-07-08,217.7,220.85,214.75,220.05,217.01,17940782
2022-07-07,215.95,216.3,212.3,214.55,211.59,14827327
2022-07-06,212.5,214.75,210.1,214,211.05,13022748
2022-07-05,214.5,217.1,212,212.8,209.86,18209477
2022-07-04,207.7,212.8,207.2,211.45,208.53,14714951
2022-07-01,202.7,207.65,200.6,207,204.14,15807993
2022-06-30,207.3,209.25,201.4,202.2,199.41,16161389
2022-06-29,206.1,209.7,205.75,207.3,204.44,12179447
2022-06-28,206.1,209.15,204.9,208.65,205.77,13321760
2022-06-27,209.9,211.6,207.65,208.15,205.28,18526023
2022-06-24,204.9,208.75,203.7,207.9,205.03,16789270
2022-06-23,201.3,204.9,198.65,202.95,200.15,20176334
2022-06-22,203.7,204.6,199,201.3,198.52,19099052
2022-06-21,197.8,207.75,192.5,204.55,201.73,40390379
2022-06-20,211.8,212.9,190,194.9,192.21,46007687
2022-06-17,209.8,213.95,207.05,210.3,207.4,20447908
2022-06-16,222.4,223.3,209,209.8,206.91,22486470
2022-06-15,221,222.3,218.3,218.95,215.93,11820899
2022-06-14,214.7,224.4,214.65,220.4,215.63,16235651
2022-06-13,223.45,226.35,218.9,219.5,214.75,19190225
2022-06-10,231.4,232.4,229,230.25,225.27,9619461
2022-06-09,232,234.7,231.4,233.05,228.01,10241164
2022-06-08,235.95,236.4,231.1,233,227.96,13235033
2022-06-07,230.9,235.5,229.75,234.75,229.67,14994271
2022-06-06,231,233.6,227.55,232.25,227.23,11689465
2022-06-03,236.3,236.85,230.2,231.05,226.05,11433422
2022-06-02,232,235.9,231.3,234.2,229.14,13296442
2022-06-01,233.6,236.2,230.55,232.75,227.72,14805104
2022-05-31,232.9,237.6,231.3,235.15,230.06,21535025
2022-05-30,227.9,233.9,227,233.25,228.21,19674867
2022-05-27,225.7,226.8,222.7,224.65,219.79,16159280
2022-05-26,222.95,224.3,210.2,221.45,216.66,34963419
2022-05-25,229,229.9,220,220.9,216.12,16194564
2022-05-24,230.2,231.4,224.75,227,222.09,17636195
2022-05-23,234.95,235.9,228.75,229.8,224.83,16642801
2022-05-20,232.5,236,230.25,233.25,228.21,18294157
2022-05-19,229.5,232.6,226.35,228.45,223.51,23697546
2022-05-18,243.35,243.35,236.5,237.7,232.56,25004758
2022-05-17,228.95,242.5,227.85,241.15,235.94,34735919
2022-05-16,224.9,227.65,220.5,226.6,221.7,22192986
2022-05-13,225,229.2,221.3,222.8,217.98,33108597
2022-05-12,225.8,227.05,217.05,219.05,214.31,29320356
2022-05-11,222.8,229.8,219.5,226.5,221.6,35097575
2022-05-10,229.95,234.5,220.65,222.15,217.35,30274946
2022-05-09,235,236.5,223.05,230,225.03,60959066
2022-05-06,243,247,240.65,245.2,239.9,28044381
2022-05-05,248.95,251.3,244.95,247.5,242.15,24304759
2022-05-04,249.85,254.2,242.85,244.95,239.65,30780217
2022-05-02,240,249.65,238.4,248.5,243.13,26535475
2022-04-29,250.9,253.2,240.85,242.35,237.11,26234765
2022-04-28,250.9,250.9,244.4,248.25,242.88,20911099
2022-04-27,247.8,255.25,245.5,247.35,242,32027943
2022-04-26,251.15,251.45,248.05,248.85,243.47,17965504
2022-04-25,248,251.55,244.7,247.35,242,24620801
2022-04-22,258,259,252.3,253.1,247.63,30569068
2022-04-21,253,260.2,250.7,258.85,253.25,40617734
2022-04-20,250,254.7,246.55,249.65,244.25,41573598
2022-04-19,260.5,262,242.5,246.45,241.12,53483065
2022-04-18,267.9,267.9,252,257.9,252.32,89819229
2022-04-13,278.6,280.3,272.3,273.1,267.19,31460232
2022-04-12,283.35,283.35,271.6,275.15,269.2,44771140
2022-04-11,281,288.45,280.35,282.9,276.78,47972951
2022-04-08,280.9,282.8,273.05,278.1,272.09,64353330
2022-04-07,292.35,298.05,276,277.8,271.79,151174247
2022-04-06,275.95,296.5,273.1,289.8,283.53,227551020
2022-04-05,253.85,275.25,252.1,273.6,267.68,94568156
2022-04-04,247.15,253.55,246.1,251.95,246.5,39380622
2022-04-01,237.65,246.35,237.1,245.45,240.14,25666798
2022-03-31,242.9,242.9,237.65,238.65,233.49,13956014
2022-03-30,240.95,244.9,237.75,241.7,236.47,22893839
2022-03-29,243.6,244.9,238.5,239.1,233.93,20061075
2022-03-28,242.55,244,237.45,239.6,234.42,14835527
2022-03-25,240,244.3,239.2,241.35,236.13,24286187
2022-03-24,234,241,232.95,239.5,234.32,31525902
2022-03-23,232.35,237.45,231.65,234.3,229.23,29507641
2022-03-22,229.1,231.9,226.3,231.4,226.4,14893566
2022-03-21,232.95,233.4,227.35,227.95,223.02,12356508
2022-03-17,233.6,233.95,231.3,231.75,226.74,16453329
2022-03-16,230,231.7,229.05,230.45,225.47,12428032
2022-03-15,231.95,233.3,225.3,227.4,222.48,16150855
2022-03-14,233.1,234.65,230.55,231.55,226.54,12074559
2022-03-11,231.9,234.25,230.3,233.15,228.11,18163055
2022-03-10,235,235.85,229.9,232.25,227.23,25462569
2022-03-09,229.1,231.2,226.3,229.25,224.29,25437632
2022-03-08,215,227.8,214.6,226.95,222.04,41105290
2022-03-07,217,219.7,212.25,216.2,211.52,23498823
2022-03-04,225,226.45,220.8,221.45,216.66,22427429
2022-03-03,229,230.55,225.9,226.6,221.7,22429798
2022-03-02,220,227.25,218.4,225.4,220.53,28297089
2022-02-28,217.5,224.35,214.1,223.05,218.23,35508015
2022-02-25,210,221.3,209.55,220,215.24,52157687
2022-02-24,213,216.15,203.25,204.3,199.88,60097152
2022-02-23,226,226.8,220.35,221.2,216.42,23583042
2022-02-22,218,224.85,217.3,222.65,217.84,29360421
2022-02-21,224,227.65,222.25,225,220.13,24657963
2022-02-18,227,230,224.65,225.75,220.87,18717812
2022-02-17,233.35,233.85,227,227.75,222.82,23381354
2022-02-16,233.4,236.9,230.1,231.35,226.35,35144286
2022-02-15,222.75,231.75,218.8,230.4,225.42,36314556
2022-02-14,226,226.85,216,220.5,215.73,38301829
2022-02-11,240,242.05,230.2,232.3,227.28,36050888
2022-02-10,238.5,244.5,234.1,241.3,236.08,55153254
2022-02-09,236.7,238.9,232.6,238,232.85,35604075
2022-02-08,252.5,253.6,232.6,234.85,229.77,82053977
2022-02-07,255.5,256.7,250.55,251.8,246.35,32770930
2022-02-04,253.8,257.9,253,254.35,248.85,39309420
2022-02-03,250.55,254.4,249.3,252.85,247.38,27724870
2022-02-02,251.9,255,249.25,250.6,245.18,25162901
2022-02-01,249.5,256.4,244.8,249.85,244.45,74185275
2022-01-31,247.95,249.55,245.3,246.05,240.73,24939671
2022-01-28,244.7,250,242.85,244.05,238.77,34523855
2022-01-27,235.5,242.35,232.5,241.05,235.84,35920383
2022-01-25,226.25,240.85,223,238.8,233.64,39449718
2022-01-24,242.5,243.85,226.6,229.55,224.59,43279408
2022-01-21,245.8,250.8,238.55,241.95,236.72,35507032
2022-01-20,250,252.15,245.15,248.65,243.27,35990609
2022-01-19,239,249.7,236.05,248.5,243.13,36751594
2022-01-18,250,250.6,237.8,239.1,233.93,30408196
2022-01-17,245.9,249.25,245,247.85,242.49,25339181
2022-01-14,243.7,248.5,242.5,244.4,239.11,36940487
2022-01-13,239,246.7,236.5,245.3,240,50250827
2022-01-12,234.9,239.65,234.5,237.75,232.61,32665403
2022-01-11,233,236.7,231.8,233.1,228.06,25489182
2022-01-10,230.95,233.45,230.4,231.75,226.74,22061859
2022-01-07,230.3,232.85,227.1,229.8,224.83,34595209
2022-01-06,221.45,229.8,219.5,228.45,223.51,27537005
2022-01-05,226.4,226.55,223,223.5,218.67,17271276
2022-01-04,224.3,228.25,221,226.3,221.41,32469988
2022-01-03,221.2,223.9,216,223.4,218.57,19062825
2021-12-31,218.9,222,218.35,220.95,216.17,12737974
2021-12-30,218.7,221,217.05,218.35,213.63,14315067
2021-12-29,221,223.25,218.85,219.45,214.7,14504319
2021-12-28,218.7,222.2,218.5,221.6,216.81,19058757
2021-12-27,216.6,217.75,213.8,217.35,212.65,15870056
2021-12-24,219.05,219.45,214.15,216.8,212.11,18770416
2021-12-23,220,221.25,217.45,218.05,213.33,16940883
2021-12-22,214.5,218.7,213.3,218,213.29,21655596
2021-12-21,213,216.25,209.85,211.9,207.32,33006180
2021-12-20,210.5,211.95,202.8,209.1,204.58,47944121
2021-12-17,222.7,222.7,214,215.8,211.13,38813929
2021-12-16,229.8,230.05,219.15,221.9,217.1,40645402
2021-12-15,229,232.4,227.05,227.85,222.92,20127541
2021-12-14,230,230,225.5,229.05,224.1,24698002
